SELECT PropertySetId, ParentId, Name FROM SchemaPropertySets WHERE PropertySetTypeId = 1
PropertySetId	ParentId	Name
1	10	Folder
2	10	Group
3	10	User
4	1	PortalRoot
5	1	SystemFolder
6	1	Domains
7	1	Domain
8	1	OrganizationalUnit
9	NULL	ContentType
10	NULL	GenericContent
11	NULL	JournalNode
12	10	File
13	10	Application
14	10	Workflow
15	10	ListItem
16	10	FieldSettingContent
17	10	ContentLink
18	10	NotificationConfig
19	10	PublicRegistrationConfig
20	10	Query
21	10	Subscription
22	10	Tag
23	10	UserSearch
24	10	WikiArticle
25	1	ADFolder
26	1	ArticleSection
27	1	ContentList
28	1	Workspace
29	1	SmartFolder
30	1	ContentViews
31	1	Device
32	1	DiscussionForum
33	1	DocumentWorkspaceFolder
34	1	Email
35	1	ExpenseClaim
36	1	FieldControlTemplates
37	1	KPIDatasource
38	1	KPIDatasources
39	1	OtherWorkspaceFolder
40	1	PortletCategory
41	1	Posts
42	1	ProfileDomain
43	1	Profiles
44	1	ProjectWorkspaceFolder
45	1	RuntimeContentContainer
46	1	SalesWorkspaceFolder
47	1	Sites
48	1	TrashBag
49	12	Settings
50	12	SystemFile
51	12	ContentView
52	12	Contract
53	12	DynamicJsonContent
54	12	ExecutableFile
55	12	FieldControlTemplate
56	12	HtmlTemplate
57	12	Image
58	12	UserControl
59	12	OrderForm
60	12	Video
61	12	WorkflowDefinition
62	13	ApplicationOverride
63	13	BackupIndexHandler
64	13	CaptchaImageApplication
65	13	ExportToCsvApplication
66	13	GenericODataApplication
67	13	GoogleSitemap
68	13	HttpEndpointDemoContent
69	13	HttpHandlerApplication
70	13	HttpStatusApplication
71	13	ImgResizeApplication
72	13	Webform
73	13	RssApplication
74	13	WebServiceApplication
75	13	XsltApplication
76	14	ApprovalWorkflow
77	14	DocumentPreviewWorkflow
78	14	ExpenseClaimWorkflow
79	14	ForgottenPasswordWorkflow
80	14	MailProcessorWorkflow
81	14	RegistrationWorkflow
82	15	Task
83	15	WebContent
84	15	BlogPost
85	15	CalendarEvent
86	15	Car
87	15	Comment
88	15	ConfirmationItem
89	15	CustomListItem
90	15	FormItem
91	15	ExpenseClaimItem
92	15	ForumEntry
93	15	Like
94	15	Link
95	15	Memo
96	15	Portlet
97	15	Post
98	15	SliderItem
99	15	SurveyItem
100	15	SurveyListItem
101	15	VotingItem
102	16	BinaryFieldSetting
103	16	TextFieldSetting
104	16	NumberFieldSetting
105	16	DateTimeFieldSetting
106	16	HyperLinkFieldSetting
107	16	IntegerFieldSetting
108	16	NullFieldSetting
109	16	PageBreakFieldSetting
110	16	ReferenceFieldSetting
111	16	XmlFieldSetting
112	3	RegisteredUser
113	5	Portlets
114	5	Resources
115	5	Skin
116	5	Skins
117	27	Aspect
118	27	ItemList
119	27	Library
120	28	Blog
121	28	DocumentWorkspace
122	28	ProjectWorkspace
123	28	SalesWorkspace
124	28	Site
125	28	TeamWorkspace
126	28	TrashBin
127	28	UserProfile
128	28	Wiki
129	29	ContentRotator
130	49	ADSettings
131	49	IndexingSettings
132	49	LoggingSettings
133	49	PortalSettings
134	50	ApplicationCacheFile
135	50	MasterPage
136	50	PageTemplate
137	50	Resource
138	57	PreviewImage
139	58	ViewBase
140	72	Page
141	82	ApprovalWorkflowTask
142	83	Article
143	83	HTMLContent
144	83	WebContentDemo
145	90	EventRegistrationFormItem
146	103	ShortTextFieldSetting
147	103	LongTextFieldSetting
148	104	CurrencyFieldSetting
149	118	CustomList
150	118	EventList
151	118	Form
152	118	ForumTopic
153	118	LinkList
154	118	MemoList
155	118	Survey
156	118	SurveyList
157	118	TaskList
158	119	DocumentLibrary
159	119	ImageLibrary
160	139	ListView
161	141	ExpenseClaimWorkflowTask
162	146	ChoiceFieldSetting
163	146	PasswordFieldSetting
164	151	EventRegistrationForm
165	155	Voting
166	162	PermissionChoiceFieldSetting
167	162	YesNoFieldSetting
